Page path,Default channel group,Sessions,Engagement rate,Conversions,Total revenue
https://example.com/blog/home-office-37,Referral,45,0.4,15,3608
https://example.com/products/tax-filing-38,Direct,288,0.26,7,970
https://example.com/resources/web-hosting-39-2023,Referral,30,0.87,3,1702
https://example.com/guides/credit-cards-40,Direct,147,0.69,14,583
https://example.com/guides/credit-cards-41-2023,Direct,294,0.69,8,4099
https://example.com/news/meal-prep-42,Direct,391,0.6,5,3854
https://example.com/compare/meal-prep-43,Direct,2953,0.66,12,4506
https://example.com/blog/meal-prep-44,Organic Search,2144,0.34,17,1073
https://example.com/news/meal-prep-45.pdf,Organic Social,136,0.86,20,1261
https://example.com/news/credit-cards-46-2023,Organic Search,69,0.39,13,2784
https://example.com/help/solar-panels-47,Email,203,0.89,7,4684
https://example.com/news/home-office-48-2024.pdf,Email,3006,0.55,18,2719
https://example.com/help/meal-prep-49,Organic Search,203,0.8,17,3113
https://example.com/products/meal-prep-50-2023.pdf,Organic Search,420,0.51,9,237
https://example.com/products/running-shoes-51,Email,317,0.36,20,2080
https://example.com/products/running-shoes-52-2024,Email,154,0.9,15,873
https://example.com/guides/web-hosting-53-2023,Email,146,0.62,11,1794
https://example.com/compare/home-office-54-2023,Direct,3039,0.72,5,1644
https://example.com/guides/solar-panels-55,Organic Social,1522,0.88,17,2996
https://example.com/blog/web-hosting-56,Organic Search,172,0.64,14,2475
https://example.com/compare/web-hosting-57,Referral,380,0.49,4,3398
https://example.com/compare/email-marketing-58-2024,Referral,188,0.83,20,2938
https://example.com/news/credit-cards-59,Email,289,0.25,17,1697
https://example.com/resources/home-office-60,Email,13,0.21,7,4823
https://example.com/products/running-shoes-61,Referral,231,0.36,19,355
https://example.com/compare/solar-panels-62,Referral,2201,0.64,17,2663
https://example.com/news/vpn-63-2023,Organic Social,116,0.44,14,3266
https://example.com/news/email-marketing-64,Organic Search,1917,0.61,17,4601
https://example.com/products/email-marketing-65-2024,Referral,489,0.46,8,4703
https://example.com/guides/web-hosting-66-2023,Organic Search,258,0.33,4,4639
https://example.com/news/email-marketing-67,Referral,397,0.62,1,1274
https://example.com/guides/vpn-68,Organic Search,220,0.4,18,3986
https://example.com/resources/credit-cards-69,Organic Social,3,0.72,5,1058
https://example.com/news/solar-panels-70,Organic Social,293,0.7,13,2371
https://example.com/blog/web-hosting-71,Direct,2142,0.36,5,625
https://example.com/resources/email-marketing-72-2023,Organic Social,3138,0.52,18,4747
https://example.com/news/vpn-73-2023,Organic Search,259,0.42,14,308
https://example.com/blog/yoga-74,Referral,322,0.31,1,3690
https://example.com/blog/yoga-75,Referral,353,0.24,20,2741
https://example.com/blog/yoga-76,Organic Search,399,0.42,12,2690
https://example.com/help/tax-filing-77-2023,Email,248,0.36,4,1269
https://example.com/blog/credit-cards-78,Organic Social,90,0.46,7,3638
https://example.com/resources/credit-cards-79-2024,Email,2235,0.77,19,1133
https://example.com/blog/meal-prep-80,Email,46,0.77,11,218
https://example.com/news/running-shoes-81-2024,Organic Social,146,0.69,4,3842
https://example.com/resources/running-shoes-82.pdf,Organic Search,2409,0.37,20,3744
https://example.com/blog/email-marketing-83-2024,Organic Search,265,0.87,17,4156
https://example.com/help/solar-panels-84-2023.pdf,Email,176,0.71,20,849
https://example.com/compare/yoga-85.pdf,Organic Social,32,0.23,6,358
https://example.com/help/home-office-86,Organic Social,1919,0.82,14,3167
https://example.com/products/tax-filing-87-2024,Organic Social,1348,0.62,13,1365
https://example.com/compare/meal-prep-88,Email,2965,0.87,4,4977
https://example.com/help/meal-prep-89,Organic Search,390,0.6,16,3006
https://example.com/news/yoga-90,Direct,313,0.69,15,1639
https://example.com/blog/tax-filing-91,Email,817,0.76,16,1836
https://example.com/blog/home-office-92,Organic Social,371,0.57,13,4709
https://example.com/guides/yoga-93,Organic Search,28,0.56,9,1348
https://example.com/guides/yoga-94,Email,257,0.61,18,1263
https://example.com/guides/vpn-95-2023,Organic Social,15,0.82,17,2372
https://example.com/compare/credit-cards-96-2024,Email,310,0.42,10,2829
https://example.com/news/tax-filing-97,Referral,196,0.49,5,2682
https://example.com/resources/yoga-98,Email,123,0.61,1,414
https://example.com/products/meal-prep-99-2023,Organic Social,391,0.46,12,419
https://example.com/resources/solar-panels-100,Referral,183,0.86,4,1630
https://example.com/resources/web-hosting-101-2023.pdf,Direct,1777,0.31,19,2451
https://example.com/resources/yoga-102-2023,Organic Search,371,0.62,8,4738
https://example.com/resources/home-office-103,Organic Social,228,0.31,6,3361
https://example.com/help/vpn-104-2024,Organic Social,88,0.84,10,4475
https://example.com/products/credit-cards-105-2023,Referral,178,0.85,8,2357
https://example.com/blog/vpn-106-2023,Email,109,0.78,8,4604
https://example.com/compare/credit-cards-107,Organic Social,367,0.27,4,42
https://example.com/resources/tax-filing-108-2024,Referral,118,0.72,1,1434
https://example.com/news/tax-filing-109,Referral,1191,0.57,4,4130
https://example.com/news/credit-cards-110,Direct,284,0.26,3,1513
https://example.com/news/yoga-111.pdf,Direct,365,0.68,1,968
https://example.com/news/credit-cards-112,Referral,232,0.46,17,3857
https://example.com/help/solar-panels-113,Email,351,0.32,16,3619
https://example.com/blog/home-office-114-2023,Organic Search,157,0.48,0,1785
https://example.com/resources/email-marketing-115,Organic Social,2511,0.81,12,3077
https://example.com/blog/solar-panels-116,Organic Social,1109,0.57,7,2027
https://example.com/news/yoga-117,Organic Search,575,0.37,1,3295
https://example.com/guides/solar-panels-118,Referral,2236,0.35,9,2254
https://example.com/resources/vpn-119,Email,209,0.41,5,4406
https://example.com/guides/home-office-120,Organic Search,249,0.57,6,422
https://example.com/products/web-hosting-121-2023,Organic Social,85,0.84,19,1675
https://example.com/news/home-office-122-2023,Email,212,0.46,13,374
https://example.com/resources/home-office-123.pdf,Organic Social,200,0.59,10,2108
https://example.com/help/meal-prep-124-2024,Organic Search,38,0.74,13,1126
https://example.com/help/home-office-125,Organic Search,8,0.57,13,97
https://example.com/blog/solar-panels-126,Direct,2426,0.77,8,3251
https://example.com/products/web-hosting-127-2024,Email,33,0.26,13,2713
https://example.com/help/email-marketing-128-2023,Organic Search,3096,0.87,18,1181
https://example.com/help/web-hosting-129,Organic Search,2598,0.27,7,622
https://example.com/resources/vpn-130-2023,Referral,348,0.66,2,2419
https://example.com/help/home-office-131,Direct,227,0.73,3,1085
https://example.com/blog/tax-filing-132-2024,Organic Search,197,0.4,12,693
https://example.com/compare/solar-panels-133,Organic Social,141,0.41,2,2958
https://example.com/products/home-office-134-2024,Organic Social,168,0.43,20,4869
https://example.com/guides/credit-cards-135,Organic Social,166,0.4,12,2990
https://example.com/blog/vpn-136,Organic Social,233,0.3,9,1982
https://example.com/products/tax-filing-137-2024,Referral,184,0.62,2,895
https://example.com/help/home-office-138,Referral,2691,0.68,7,3651
https://example.com/products/web-hosting-139-2024,Email,373,0.44,10,3730
https://example.com/help/home-office-140-2023,Email,97,0.56,17,1311
https://example.com/products/solar-panels-141-2024,Organic Social,219,0.2,6,1685
https://example.com/products/email-marketing-142-2023,Referral,160,0.47,12,4808
https://example.com/blog/yoga-143,Referral,95,0.47,19,1129
https://example.com/resources/web-hosting-144-2024,Organic Social,2944,0.3,12,4600
https://example.com/resources/meal-prep-145-2024,Referral,115,0.4,14,4633
https://example.com/resources/solar-panels-146,Organic Social,86,0.38,2,3596
https://example.com/help/home-office-147,Direct,1808,0.62,5,2651
https://example.com/compare/credit-cards-148,Direct,364,0.78,12,4009
https://example.com/resources/credit-cards-149-2024,Referral,167,0.2,2,3755
https://example.com/compare/yoga-150,Organic Search,2208,0.23,20,3764
https://example.com/blog/email-marketing-151,Email,1260,0.24,20,2502
https://example.com/compare/home-office-152-2024,Direct,356,0.77,13,1082
https://example.com/news/email-marketing-153,Organic Search,288,0.63,5,3605
https://example.com/products/home-office-154,Email,1983,0.39,2,2032
https://example.com/resources/vpn-155-2023,Organic Social,331,0.47,7,4092
https://example.com/compare/vpn-156,Organic Search,394,0.21,2,112
https://example.com/products/home-office-157,Organic Search,223,0.56,6,1272
https://example.com/resources/yoga-158-2024,Organic Search,222,0.52,19,450
https://example.com/compare/tax-filing-159.pdf,Direct,64,0.71,3,240
https://example.com/products/web-hosting-160,Direct,80,0.74,18,944
https://example.com/guides/solar-panels-161.pdf,Organic Social,365,0.36,7,3409
https://example.com/compare/yoga-162,Direct,444,0.43,17,3741
https://example.com/blog/yoga-163,Email,125,0.2,13,195
https://example.com/resources/yoga-164,Organic Search,1688,0.84,16,3383
https://example.com/compare/yoga-165-2024,Organic Social,236,0.69,10,2605
https://example.com/news/credit-cards-166,Email,183,0.52,14,2170
https://example.com/help/email-marketing-167,Direct,64,0.38,5,254
https://example.com/help/meal-prep-168-2023,Direct,205,0.68,20,688
https://example.com/resources/vpn-169,Organic Search,236,0.32,18,3548
https://example.com/help/web-hosting-170-2024.pdf,Referral,317,0.37,9,4086
https://example.com/news/solar-panels-171-2024,Direct,400,0.54,15,2818
https://example.com/resources/solar-panels-172,Email,55,0.66,8,4371
https://example.com/help/home-office-173-2023,Direct,358,0.86,18,1164
https://example.com/guides/meal-prep-174-2023,Email,314,0.76,10,1453
https://example.com/help/yoga-175.pdf,Direct,726,0.43,5,3578
https://example.com/help/meal-prep-176,Referral,89,0.47,18,265
https://example.com/guides/vpn-177,Direct,372,0.51,8,1717
https://example.com/guides/email-marketing-178,Organic Search,192,0.78,18,1847
https://example.com/news/email-marketing-179,Direct,47,0.62,19,3954
https://example.com/compare/running-shoes-180-2024,Referral,369,0.39,9,2436
https://example.com/guides/email-marketing-181,Email,13,0.32,9,671
https://example.com/news/email-marketing-182,Direct,22,0.51,8,1853
https://example.com/help/credit-cards-183-2023,Referral,198,0.49,17,3889
https://example.com/resources/home-office-184-2024,Email,90,0.77,4,349
https://example.com/news/email-marketing-185-2024,Referral,141,0.52,0,4813
https://example.com/resources/web-hosting-186,Organic Social,408,0.6,15,306
https://example.com/guides/credit-cards-187-2024,Organic Search,190,0.44,9,2547
https://example.com/help/meal-prep-188,Organic Social,1538,0.73,11,460
https://example.com/help/tax-filing-189,Email,236,0.39,14,4137
https://example.com/news/email-marketing-190,Organic Search,132,0.4,12,406
https://example.com/guides/vpn-191,Email,331,0.62,0,1833
https://example.com/products/vpn-192,Referral,346,0.78,12,4788
https://example.com/blog/running-shoes-193-2023,Direct,205,0.33,16,1968
https://example.com/help/vpn-194-2024,Email,383,0.68,20,3897
https://example.com/products/solar-panels-195,Organic Search,171,0.36,7,2515
https://example.com/help/yoga-196,Organic Search,256,0.81,12,4340
https://example.com/news/running-shoes-197,Organic Search,1805,0.52,6,1381
https://example.com/resources/tax-filing-198-2024,Email,273,0.71,0,2639
https://example.com/help/solar-panels-199.pdf,Email,156,0.25,1,2442
https://example.com/products/meal-prep-200-2023,Email,3027,0.35,0,4830
https://example.com/resources/tax-filing-201,Organic Social,1695,0.51,3,4483
https://example.com/products/meal-prep-202,Organic Search,214,0.56,19,964
https://example.com/products/email-marketing-203,Direct,1423,0.36,0,729
https://example.com/help/vpn-204-2024,Direct,214,0.76,10,3489
https://example.com/compare/email-marketing-205,Organic Search,95,0.48,14,2226
https://example.com/help/web-hosting-206-2024,Organic Social,291,0.33,12,2937
https://example.com/resources/running-shoes-207,Referral,295,0.36,10,4252
https://example.com/resources/vpn-208,Email,329,0.55,15,4061
https://example.com/blog/meal-prep-209,Organic Social,293,0.26,15,3662
https://example.com/blog/meal-prep-210,Organic Search,191,0.77,14,2719
https://example.com/resources/vpn-211-2023,Organic Search,359,0.23,5,4033
https://example.com/guides/web-hosting-212,Organic Social,824,0.66,16,1102
https://example.com/news/running-shoes-213-2023,Organic Search,65,0.47,19,4965
https://example.com/resources/web-hosting-214-2024,Referral,358,0.41,17,2571
https://example.com/compare/solar-panels-215,Direct,326,0.7,11,4606
https://example.com/news/vpn-216-2023,Email,82,0.39,5,2347
https://example.com/products/tax-filing-217,Organic Social,287,0.37,9,384
https://example.com/news/web-hosting-218-2024,Direct,360,0.73,17,4942
https://example.com/guides/home-office-219,Email,1103,0.23,10,4889
https://example.com/blog/vpn-220,Email,258,0.49,17,3304
https://example.com/blog/yoga-221,Organic Search,332,0.28,11,3650
https://example.com/guides/vpn-222-2023,Direct,394,0.56,16,3650
https://example.com/news/running-shoes-223,Email,33,0.67,6,3475
https://example.com/guides/solar-panels-224-2024,Organic Search,285,0.6,7,2118
https://example.com/news/web-hosting-225-2024,Organic Search,299,0.69,2,2930
https://example.com/resources/email-marketing-226,Email,112,0.72,17,2416
https://example.com/compare/tax-filing-227,Direct,1671,0.35,11,1734
https://example.com/compare/solar-panels-228,Organic Search,281,0.4,2,2053
https://example.com/guides/vpn-229-2024,Referral,95,0.6,10,3508
https://example.com/guides/running-shoes-230,Direct,183,0.54,3,1439
https://example.com/resources/email-marketing-231,Referral,297,0.48,18,1742
https://example.com/blog/solar-panels-232,Organic Search,318,0.66,19,1358
https://example.com/help/solar-panels-233,Organic Search,192,0.67,16,2959
https://example.com/news/meal-prep-234.pdf,Email,333,0.46,12,2992
https://example.com/compare/email-marketing-235-2023,Organic Social,71,0.32,2,4215
https://example.com/products/home-office-236,Organic Search,288,0.37,4,4698
https://example.com/resources/tax-filing-237,Organic Search,326,0.81,9,702
https://example.com/guides/meal-prep-238-2023,Referral,1303,0.25,12,3157
https://example.com/blog/running-shoes-239,Organic Social,1866,0.66,19,4417
https://example.com/help/running-shoes-240-2024,Organic Social,136,0.74,2,2320
https://example.com/resources/solar-panels-241-2024,Direct,130,0.8,13,4625
https://example.com/products/vpn-242,Email,230,0.8,3,1882
https://example.com/news/tax-filing-243,Email,178,0.46,19,309
https://example.com/compare/web-hosting-244-2024,Direct,265,0.34,19,4182
https://example.com/resources/home-office-245-2023,Organic Search,424,0.84,17,2330
https://example.com/resources/yoga-246,Organic Search,2757,0.76,8,4406
https://example.com/help/vpn-247,Email,397,0.67,7,2586
https://example.com/news/yoga-248-2023,Organic Social,91,0.42,6,4699
https://example.com/guides/home-office-249-2024,Organic Search,54,0.84,15,54
